Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Checkout Blocks Rule Trigger (product.metafields.checkoutblocks.trigger),Activity (product.metafields.custom.activity),Badges (product.metafields.custom.badges),Buckle Color (product.metafields.custom.buckle_color),Buckle Material  (product.metafields.custom.buckle_material_),Buckle Width (product.metafields.custom.buckle_width),Bundle (product.metafields.custom.bundle),image with text - text (product.metafields.custom.image_with_text_text),Packs (product.metafields.custom.packs),Other (product.metafields.custom.product),Product Category (product.metafields.custom.product_category),Product Feature (product.metafields.custom.product_feature),Season (product.metafields.custom.season),Shipping (product.metafields.custom.shipping),Sock Color (product.metafields.custom.sock_color),Style (product.metafields.custom.sock_height),Buckle Style (product.metafields.custom.style),Video (product.metafields.custom.video),Warranty (product.metafields.custom.warranty),Wool Info (product.metafields.custom.wool_info),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Hidden Product (product.metafields.seo.hidden),Accessory size (product.metafields.shopify.accessory-size),Activity (product.metafields.shopify.activity),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / Brunei,Price / Brunei,Compare At Price / Brunei,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Status
element-strap-1-5-width-copy-copy,Element Strap,"<p>Meet the Element 1.5"" Strap, designed for durability and comfort. Built to handle everyday wear or outdoor adventures, this strap pairs perfectly with any GRIP6 buckle. Its rugged design and superior strength ensure a secure fit, making it a must-have for those seeking versatility and style.</p>",GRIP6,Apparel & Accessories > Clothing Accessories > Belts,Standard Webbing,"",true,Color,Slate Grey,,Size,Small(26-30),,,,,Slate Gray 1.5-30,85.048569375,shopify,961,deny,manual,21.99,,true,true,'194794132624,https://cdn.shopify.com/s/files/1/1310/9209/products/ElementRavenStrap.jpg?v=1708979514,1,black belt strap,false,1.5 Inch Belt Strap | Element Series Strap by GRIP6,"Enhance your belt with the GRIP6 Element 1.5"" Belt Strap. Durable, lightweight, and designed for comfort, perfect for everyday wear and outdoor activities.",,,,,,,,,,,,,,,,,Standard,,,,,Webbing,why-choose-a-grip-6-belt,,shipping,,,,,our-warranty,standard-webbing-specs,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/CarbonFiberDadPack_4_e3ba995d-5e8a-4263-bc84-c6568a0a062c.png?v=1728606011,oz,,,true,,,true,,,true,,,true,,,active
element-strap-1-5-width-copy-copy,,,,,,,,,Raven,,,Small(26-30),,,,,Raven 1.5-30,85.048569375,shopify,878,deny,manual,21.99,,true,true,'194794066509,https://cdn.shopify.com/s/files/1/1310/9209/files/CarbonFiberDadPack_4_e3ba995d-5e8a-4263-bc84-c6568a0a062c.png?v=1728606011,2,grey belt strap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/products/ElementRavenStrap.jpg?v=1708979514,oz,,,,,,,,,,,,,,,
element-strap-1-5-width-copy-copy,,,,,,,,,Electric Blue,,,Small(26-30),,,,,Electric Blue 1.5-30,85.048569375,shopify,989,deny,manual,21.99,,true,true,'194794128221,https://cdn.shopify.com/s/files/1/1310/9209/files/ElementKodiakStrap_4fe0d6f2-541d-40ad-83e6-8ea4a25156cf.png?v=1728606011,3,brown belt strap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/ElctricBlueElementStrap_93a75b56-bdc6-4998-b56a-f174fcd6c26e.png?v=1728606011,oz,,,,,,,,,,,,,,,
element-strap-1-5-width-copy-copy,,,,,,,,,Kodiak,,,Small(26-30),,,,,Kodiak 1.5-30,85.048569375,shopify,932,deny,manual,21.99,,true,true,'194794132662,https://cdn.shopify.com/s/files/1/1310/9209/files/ElctricBlueElementStrap_93a75b56-bdc6-4998-b56a-f174fcd6c26e.png?v=1728606011,4,blue belt strap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/ElementKodiakStrap_4fe0d6f2-541d-40ad-83e6-8ea4a25156cf.png?v=1728606011,oz,,,,,,,,,,,,,,,
element-strap-1-5-width-copy,"Element Strap (1.5"" width) (Copy)","<p>Meet the Element 1.5"" Strap, designed for durability and comfort. Built to handle everyday wear or outdoor adventures, this strap pairs perfectly with any GRIP6 buckle. Its rugged design and superior strength ensure a secure fit, making it a must-have for those seeking versatility and style.</p>",GRIP6,Apparel & Accessories > Clothing Accessories > Belts,Standard Webbing,"",true,Size,3 Pack,,,,,,,,Slate Gray 1.5-30,85.048569375,shopify,961,deny,manual,0.00,,true,true,'194794132624,https://cdn.shopify.com/s/files/1/1310/9209/products/ElementRavenStrap.jpg?v=1708979514,1,black belt strap,false,1.5 Inch Belt Strap | Element Series Strap by GRIP6,"Enhance your belt with the GRIP6 Element 1.5"" Belt Strap. Durable, lightweight, and designed for comfort, perfect for everyday wear and outdoor activities.",,,,,,,,,,,,,,,,,Standard,,,,,Webbing,why-choose-a-grip-6-belt,,shipping,,,,,our-warranty,standard-webbing-specs,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,active
element-strap-1-5-width-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/CarbonFiberDadPack_4_e3ba995d-5e8a-4263-bc84-c6568a0a062c.png?v=1728606011,2,grey belt strap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
element-strap-1-5-width-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/ElementKodiakStrap_4fe0d6f2-541d-40ad-83e6-8ea4a25156cf.png?v=1728606011,3,brown belt strap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
element-strap-1-5-width-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1310/9209/files/ElctricBlueElementStrap_93a75b56-bdc6-4998-b56a-f174fcd6c26e.png?v=1728606011,4,blue belt strap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tactical-black-lightweight-boot-sock-merino-wool,Tactical Black Lightweight Boot Sock - Merino Wool,"<p>Our Tactical Lightweight Boot Sock in Black offers premium comfort and extreme durability. Made from high-quality USA Merino wool and designed to exceed military specifications, these socks provide moisture-wicking and breathability, perfect for high pressure situations. Designed to keep your feet warm and dry, their rugged build makes them ideal for heavy duty use.</p>",GRIP6,Apparel & Accessories > Clothing > Socks,Tactical,"boot, Socks, Tactical",true,Size,SM,,,,,,,,S-TACT-LW-BOOT-BLK-SM,80.0,shopify,108,deny,manual,29.00,,true,true,'194794145273,https://cdn.shopify.com/s/files/1/1310/9209/files/MilitaryTacticalSocks-11.jpg?v=1752464214,1,"",false,Coyote Brown Boot Socks | Wool Boot Socks for Comfort | GRIP6,"Stay warm and comfortable with GRIP6 Coyote Brown Wool Boot Socks. Made from premium Merino wool for moisture-wicking, breathability, and durability.",209,,,,,,,,,,,,,,,,,,,,,Socks,why-our-boot-sock,,shipping,,Boot,,,our-warranty,wool-info,,,,,,moisture-wicking,,merino; nylon,,,,,,,g,PC040148,,true,,,true,,,true,,,true,,,active
tactical-black-lightweight-boot-sock-merino-wool,,,,,,,,,MD,,,,,,,,S-TACT-LW-BOOT-BLK-MD,80.0,shopify,212,deny,manual,29.00,,true,true,'194794145280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,PC040148,,,,,,,,,,,,,,
